Property_Id,Property_Name,Parent_Property_Id,Parent_Property_Name,Year_Ending,"NYC_Borough,_Block_and_Lot_(BBL)",NYC_Building_Identification_Number_(BIN),Address_1,City,Postal_Code,Council_District,Borough,Census_Tract,Primary_Property_Type_-_Self_Selected,Primary_Property_Type_-_Portfolio_Manager-Calculated,National_Median_Reference_Property_Type,List_of_All_Property_Use_Types_at_Property,Largest_Property_Use_Type,Year_Built,Number_of_Buildings,Occupancy,Site_EUI_(kBtu/ft²),Site_Energy_Use_(kBtu),Total_GHG_Emissions_(Metric_Tons_CO2e),Direct_GHG_Emissions_(Metric_Tons_CO2e),Property_GFA_-_Self-Reported_(ft²),Property_GFA_-_Calculated_(Buildings_and_Parking)_(ft²),Latitude,Longitude
3481910,444 Manhattan Ave - 41164,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2021,1-01945-7503,1086487;1059104;1059095;1059096;1804506;1812287,444 Manhattan Ave,New York,10026,9.0,MANHATTAN,257.0,Multifamily Housing,Multifamily Housing,Fannie Mae Industry Survey - Multifamily,Multifamily Housing,Multifamily Housing,2006,1,100,59.6,7276914.4,451,277.4,122135.0,122135.0,40.806819,-73.955508
3135880,Successful Mgmt- 370 Manhattan Avenue,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2021,1-01848-0036,1055850,"370 Manhattan Avenue,",Manhattan,10026,9.0,MANHATTAN,20102.0,Multifamily Housing,Multifamily Housing,Fannie Mae Industry Survey - Multifamily,Multifamily Housing,Multifamily Housing,1912,1,100,82.3,5680552.9,333.2,248.5,69000.0,69000.0,40.80469,-73.957059
7095174,Drax: 540 Manhattan Ave.,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2021,1019490047,1059241,540 Manhattan Avenue,New York,10027,9.0,MANHATTAN,257.0,Multifamily Housing,Multifamily Housing,Fannie Mae Industry Survey - Multifamily,Multifamily Housing,Multifamily Housing,1912,1,100,103.9,6755333.2,387.8,284.2,65022.0,65022.0,40.809247,-73.953733
15083211,U.H.O.: 400-404 Manhattan Ave,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2021,1019440018,1059061,400-404 Manhattan Ave,New York,10026,9.0,MANHATTAN,20102.0,Multifamily Housing,Multifamily Housing,Fannie Mae Industry Survey - Multifamily,Multifamily Housing,Multifamily Housing,1901,1,100,18.4,1375061.2,96.5,12.7,74542.0,74542.0,40.805828,-73.956224
15083221,U.H.O.: 406-410 Manhattan Ave,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2021,1019440045,1059073,406-410 Manhattan Ave,New York,10026,9.0,MANHATTAN,20102.0,Multifamily Housing,Multifamily Housing,Fannie Mae Industry Survey - Multifamily,Multifamily Housing,Multifamily Housing,1910,1,100,100.9,4499270.6,330.2,281.2,44595.0,44595.0,40.805925,-73.956155
20408383,Daisy Management : 450 Manhattan Avenue,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2021,1019467502,1088729,450 Manhattan Avenue,New York,10026,9.0,MANHATTAN,257.0,Multifamily Housing,Multifamily Housing,Fannie Mae Industry Survey - Multifamily,Multifamily Housing,Multifamily Housing,1950,1,100,5.3,653177,48.2,0,123875.0,123875.0,40.807091,-73.955306
20754078,Daisy Management : 460 Manhattan Avenue,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2021,3027197501,3392584,460 Manhattan Avenue,Brooklyn,11222,33.0,BROOKLYN,499.0,Multifamily Housing,Multifamily Housing,Fannie Mae Industry Survey - Multifamily,Multifamily Housing,Multifamily Housing,1950,1,100,22.5,653177,48.2,0,29024.0,29024.0,40.720063,-73.947481
6692223,"4660 Manhattan College Pkwy, 10471",Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2021,2058011060,2084214,4660 Manhattan College Pkwy,Bronx,10471,11.0,BRONX,285.0,Multifamily Housing,Multifamily Housing,Fannie Mae Industry Survey - Multifamily,Multifamily Housing,Multifamily Housing,1990,1,100,62.8,2824318.6,208.8,183.9,45000.0,45000.0,40.890132,-73.898998
6277857,386 Manhattan Ave,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2021,1-01943-0019,1059013,386 Manhattan Avenue,New York,10026,9.0,MANHATTAN,20102.0,Multifamily Housing,Multifamily Housing,Fannie Mae Industry Survey - Multifamily,Multifamily Housing,Multifamily Housing,1900,1,100,105.2,1052630.8,59.3,47.2,10005.0,10005.0,40.805263,-73.95664
6198027,Meekerman: Meekerman,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2021,3-02734-7502,3425138,410 Manhattan Avenue,Brooklyn,11211,34.0,BROOKLYN,497.0,Multifamily Housing,Multifamily Housing,Fannie Mae Industry Survey - Multifamily,Multifamily Housing,Multifamily Housing,2017,1,100,42.1,2191796.9,123.3,98.8,52093.0,52093.0,40.718193,-73.946682
6797301,300-302 Manhattan Avenue,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2021,1-01847-0039,1055804,300 Manhattan Avenue,New York,10026,9.0,MANHATTAN,19702.0,Multifamily Housing,Multifamily Housing,Fannie Mae Industry Survey - Multifamily,Multifamily Housing,Multifamily Housing,1900,1,100,92.5,2655300.9,153.6,108.7,28695.0,28695.0,40.80286,-73.958408
1634191,K132-0300139,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2021,3027590001,3068728,320 Manhattan Avenue,Brooklyn,11211,34.0,BROOKLYN,497.0,K-12 School,K-12 School,CBECS - Elementary/Middle & High School,K-12 School,K-12 School,1904,1,100,72.1,6226132.5,393,203.9,86400.0,86400.0,40.71466,-73.946108
7380650,152 Manhattan Avenue,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2021,3-03043-7508,3425490,152 Manhattan Avenue,Brooklyn,11206,34.0,BROOKLYN,505.0,Multifamily Housing,Multifamily Housing,Fannie Mae Industry Survey - Multifamily,"Multifamily Housing, Parking, Retail Store",Multifamily Housing,2002,1,100,33.9,1122242.1,81.8,2.5,38245.0,38245.0,40.708017,-73.945013
2803612,Mannie L. Wilson Towers,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2021,1-01950-0014,1059273,565 Manhattan Avenue,Manhattan,10027,9.0,MANHATTAN,20901.0,Multifamily Housing,Multifamily Housing,Fannie Mae Industry Survey - Multifamily,"Medical Office, Multifamily Housing",Multifamily Housing,1987,1,100,77.3,8656045.4,507.5,337.2,112000.0,112000.0,40.809719,-73.953411
6277857,386 Manhattan Ave,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2021,1-01943-0019,1059013,386 Manhattan Avenue,New York,10026,9.0,MANHATTAN,20102.0,Multifamily Housing,Multifamily Housing,Fannie Mae Industry Survey - Multifamily,Multifamily Housing,Multifamily Housing,1900,1,100,Not Available,Not Available,Not Available,Not Available,10005.0,10005.0,40.805263,-73.95664
6799282,Kowal House,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2021,1-01842-0051,1055665,149 Manhattan Ave,New York,10025,7.0,MANHATTAN,193.0,Multifamily Housing,Multifamily Housing,Fannie Mae Industry Survey - Multifamily,Multifamily Housing,Multifamily Housing,1988,1,100,128.9,3264628.7,185.6,142.1,25336.0,25336.0,40.799078,-73.96118
2806292,East Hill Residence Hall,6821814,Manhattan College Main Campus,12/31/2021,2-05803-0801,2116337,4455 Manhattan College Parkway,Bronx,10471,11.0,BRONX,335.0,Residence Hall/Dormitory,Residence Hall/Dormitory,Industry Survey,Residence Hall/Dormitory,Residence Hall/Dormitory,2008,1,100,58.1,7310485.8,420.6,305.3,125784.0,125784.0,40.890265,-73.904184
6821814,Manhattan College Main Campus,6821814,Manhattan College Main Campus,12/31/2021,2-05803-0801,2116337;2811786;2124409;2098895;2103610;2098896;2098898;2098899;2087584;2098900;2103793;2103609,4513 Manhattan College Parkway,Bronx,10471,11.0,BRONX,351.0,College/University,College/University,CBECS - College/University,College/University,College/University,1922,12,100,88.8,54849439.1,3910.1,2989.2,617765.0,617765.0,40.889155,-73.902045
6821831,Thomas Hall,6821814,Manhattan College Main Campus,12/31/2021,2-05803-0801,2811786,4575 Manhattan College Parkway,Bronx,10471,11.0,BRONX,351.0,College/University,College/University,CBECS - College/University,College/University,College/University,1922,1,100,254.4,17005327.3,1261.9,1261.9,66838.0,66838.0,40.88943,-73.900164
6821832,O'Malley Library,6821814,Manhattan College Main Campus,12/31/2021,2-05803-0801,2124409,4531 Manhattan College Parkway,Bronx,10471,11.0,BRONX,351.0,College/University,College/University,CBECS - College/University,College/University,College/University,2002,1,100,Not Available,Not Available,0,0,80875.0,80875.0,40.889014,-73.901452
6821833,Hayden Hall,6821814,Manhattan College Main Campus,12/31/2021,2-05803-0801,2098895,4525 Manhattan College Parkway,Bronx,10471,11.0,BRONX,351.0,College/University,College/University,CBECS - College/University,College/University,College/University,1952,1,100,Not Available,Not Available,0,0,65348.0,65348.0,40.88905,-73.901535
6821840,Jasper Hall,6821814,Manhattan College Main Campus,12/31/2021,2-05803-0801,2103610,4485 Manhattan College Parkway,Bronx,10471,11.0,BRONX,335.0,Residence Hall/Dormitory,Residence Hall/Dormitory,Industry Survey,Residence Hall/Dormitory,Residence Hall/Dormitory,1957,1,100,322.4,18016590.3,1337,1337,55889.0,55889.0,40.89088,-73.903529
6821845,Draddy Gymnasium,6821814,Manhattan College Main Campus,12/31/2021,2-05803-0801,2098896,4573 Manhattan College Parkway,Bronx,10471,11.0,BRONX,351.0,College/University,College/University,CBECS - College/University,College/University,College/University,1978,1,100,Not Available,Not Available,0,0,59293.0,59293.0,40.889419,-73.900175
6821846,DeLaSalle Hall,6821814,Manhattan College Main Campus,12/31/2021,2-05803-0801,2098898,4513 Manhattan College Parkway,Bronx,10471,11.0,BRONX,351.0,College/University,College/University,CBECS - College/University,College/University,College/University,1922,1,100,Not Available,Not Available,0,0,36937.0,36937.0,40.889155,-73.902045
6821866,Miguel Hall,6821814,Manhattan College Main Campus,12/31/2021,2-05803-0801,2098899,4513 Manhattan College Parkway,Bronx,10471,11.0,BRONX,351.0,College/University,College/University,CBECS - College/University,College/University,College/University,1923,1,100,Not Available,Not Available,0,0,36855.0,36855.0,40.889155,-73.902045
6821874,Memorial Hall,6821814,Manhattan College Main Campus,12/31/2021,2-05803-0801,2087584,4513 Manhattan College Parkway,Bronx,10471,11.0,BRONX,351.0,College/University,College/University,CBECS - College/University,College/University,College/University,1922,1,100,Not Available,Not Available,0,0,20067.0,20067.0,40.889155,-73.902045
6821877,Chapel/Smith Auditorium,6821814,Manhattan College Main Campus,12/31/2021,2-05803-0801,2098900,4513 Manhattan College Parkway,Bronx,10471,11.0,BRONX,351.0,College/University,College/University,CBECS - College/University,College/University,College/University,1922,1,100,Not Available,Not Available,0,0,25244.0,25244.0,40.889155,-73.902045
6821880,Alumni Hall,6821814,Manhattan College Main Campus,12/31/2021,2-05803-0801,2103793,4513 Manhattan College Parkway,Bronx,10471,11.0,BRONX,351.0,College/University,College/University,CBECS - College/University,College/University,College/University,1922,1,100,Not Available,Not Available,0,0,22804.0,22804.0,40.889155,-73.902045
6821886,Chrysostom Hall,6821814,Manhattan College Main Campus,12/31/2021,2-05803-0801,2103609,4513 Manhattan College Parkway,Bronx,10471,11.0,BRONX,351.0,Residence Hall/Dormitory,Residence Hall/Dormitory,Industry Survey,Residence Hall/Dormitory,Residence Hall/Dormitory,1929,1,100,Not Available,Not Available,0,0,21831.0,21831.0,40.889155,-73.902045
