Year,Period,Lobbyist,Client,Total Compensation Paid or Owed for Current Period ,Total Expenses for Current Period,Explicitly mentions LL97,Subject Category,Subject Category Details
2023,1,"Real Estate Board of New York, Inc.","Real Estate Board of New York, Inc.","$42,680.00","$1,037.00",Yes,,
2023,2,"Real Estate Board of New York, Inc.","Real Estate Board of New York, Inc.","$43,269.00","$1,388.00",Yes,,
2022,1,99 Solutions LLC.,"Real Estate Board of New York, Inc.","$21,000.00",$0.00,No,Local Legislation (including introduction),
2022,2,99 Solutions LLC.,"Real Estate Board of New York, Inc.","$21,000.00",$0.00,No,Local Legislation (including introduction),
2022,3,99 Solutions LLC.,"Real Estate Board of New York, Inc.","$21,000.00",$0.00,No,,
2022,4,99 Solutions LLC.,"Real Estate Board of New York, Inc.","$21,000.00",$0.00,No,,
2022,5,99 Solutions LLC.,"Real Estate Board of New York, Inc.","$21,000.00",$0.00,No,,
2022,6,99 Solutions LLC.,"Real Estate Board of New York, Inc.","$21,000.00",$0.00,No,,
2022,2,"Real Estate Board of New York, Inc.","Real Estate Board of New York, Inc.","$32,046.00","$4,588.00",Yes,Local Legislation (including introduction),"421-a Renewal; NYC Budget; Intro 105, Intro 106, Intro 115, Prohibition on criminal history for residential leasing; Rent adjustments by the Rent Guidelines Board; A9675, S8793; Intro 152, A2103, A1031; S8006; A9006;Local Law 97; Changes to 485-w; S3082; Extension of J51 program; S4937-B; S6999-A,A7805; S8783; A9802"
2022,4,"Real Estate Board of New York, Inc.","Real Estate Board of New York, Inc.","$16,403.00","$1,055.00",Yes,Local Legislation (including introduction),"Intros 632, 82, 93, 430, 429; Waste setout time; Renewable Energy Credits; Rulemaking related to rent regulations and Frankenstein apartments; Local Law 97 of 2019; Economic incentive programs; Commercial revitalization program; Commercial rent tax special reduction; Energy cost savings program; Lower Manhattan energy program; Lower Manhattan state and local sales tax exemption; ICAP; Innovation Queens land use determination; Sanitation regulations related to garbage pickup; Site safety training ID cards; PHEPS vouchers; Health Law Article 47 child care proposals; Zoning for zero carbon; Zoning for housing opportunities; Zoning lot draft bulletin-substantial construction"
2022,5,"Real Estate Board of New York, Inc.","Real Estate Board of New York, Inc.","$23,149.00","$1,117.00",Yes,Local Legislation (including introduction),"Intro 459; Intro 460; Intro 632; Intro 93; Intro 584; Intro 267; Local Law 97 Rulemaking; Local Law 18 Rulemaking; Rule related to site safety training cards; Housing and Building Committee Agenda changes; Property tax reform/421-a; Financial incentives extender package; Extension of economic extension programs (commercial revitalization program, commercial rent tax special reduction, commercial expansion program, energy cost savings program, Lower Manhattan Energy Program, Lower Manhattan state and local sales tax exemptions); City of Yes text amendments; conversions of obsolete commercial buildings; ULURP C220364 ZMQ; changes to municipal energy credits rules; potential legislation related to freight & deliveries; FSAE Annunciators rules; Local Law 19 of 2019"
2021,1,99 Solutions LLC,"Real Estate Board of New York, Inc.","$15,000.00",$0.00,No,n/a,
2021,2,99 Solutions LLC,"Real Estate Board of New York, Inc.","$15,000.00",$0.00,No,n/a,
2021,3,99 Solutions LLC,"Real Estate Board of New York, Inc.","$15,000.00",$0.00,No,n/a,
2021,4,99 Solutions LLC,"Real Estate Board of New York, Inc.","$20,000.00",$0.00,No,n/a,
2021,5,99 Solutions LLC,"Real Estate Board of New York, Inc.","$20,000.00",$0.00,No,n/a,
2021,6,99 Solutions LLC,"Real Estate Board of New York, Inc.","$20,000.00",$0.00,No,n/a,
